"id","Csize","life_cycle","subspecies","country"
"A_Ichthyosaura_alpestris_IRSNB_15370_mandible",1.26898752148747,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_1119-54_mandible",1.33234487653268,"metamorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_MHNG_2409-84_md",1.29767239255355,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-85_mandible",1.29795959334969,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-86_mandible",1.26123845734348,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-87_md",1.29092236145581,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-88_mandible",1.24239227447804,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-89_mandible",1.27291696387177,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-90_mandible",1.22160478607197,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_741-28A_mandible",1.2843924863056,"metamorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_MHNG_877-87N_md",1.32711371449695,"metamorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_MHNG_915-1_md",1.31453981157371,"metamorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_MHNG_915-5_md",1.25756430925319,"metamorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_MNHN_1992-2685_mandible",1.20261356410628,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2686_mandible",1.22577723836519,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2687_mandible",1.23080658446747,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2754_md",1.18344451023157,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2755_md",1.11329939184887,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2756_md",1.12241342007949,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2757_md",1.1506896296386,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2758_md",1.14495781428653,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2759_md",1.11968735656229,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2760_md",1.12255889371256,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2761_md",1.12045435529893,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2797_mandible",1.15352541193302,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2822_mandible",1.08539945177936,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2823_mandible",1.12363747423645,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2824_mandible",1.09748657460179,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2825_mandible",1.01984892066406,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2926_mandible",1.10224476413678,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2931_md",1.1900832764941,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2932_md",1.32819773486952,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2933_md",1.06866527555849,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2934_md",1.12267926125362,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2935_mandible",1.10456530241781,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2936_mandible",1.11044951367673,"paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_176570_mandible",1.24089931170486,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_176571_mandible",1.27053426634855,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178851_mandible",1.22455241682497,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178852_mandible",1.26458866614386,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178853_mandible",1.22112415295296,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178854_mandible",1.22428260019385,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178855_mandible",1.23879218673777,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178856_mandible",1.244126123865,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178857_mandible",1.21172531143389,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178858_mandible",1.22426756437867,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178859_mandible",1.22795372286511,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_191954_mandible",1.3020746436488,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_191955_mandible",1.29505605023447,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_191956_mandible",1.26623161734994,"metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_NMB_6275_mandible",1.25803164228632,"metamorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMB_6277_mandible",1.22270870659043,"metamorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMB_6278_mandible",1.29604783734166,"metamorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMB_6279_mandible",1.25180261121411,"metamorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMB_6280_mandible",1.23396689042469,"metamorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMBE_1016799_mandible",1.22244280214547,"paedomorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_NMBE_1016900_mandible",1.23476631320638,"paedomorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_NMBE_1047562_mandible",1.2754152938657,"paedomorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_NMBE_1053490_mandible",1.11791435199122,"paedomorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_NMW_8773-1_md",1.16651377721742,"paedomorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_NMW_8866-1_mandible",1.28128284060991,"paedomorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMW_8866-2_mandible",1.24519876470358,"paedomorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMW_8866-3_mandible",1.23261534488749,"paedomorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMW_8866-4_mandible",1.30580899117559,"paedomorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMW_8866-5_mandible",1.24573529322883,"paedomorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMW_8866-6_mandible",1.24397219754667,"paedomorphic","alpestris","Bosnia"
