"","life_cycle","subspecies","country"
"A_Ichthyosaura_alpestris_IRSNB_15370_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_1119-54_cranium","metamorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_MHNG_2409-84_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-85_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-86_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-87_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-88_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-89_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-90_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_741-28A_cranium","metamorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_MHNG_877-87N_cranium","metamorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_MHNG_915-1_cranium","metamorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_MHNG_915-5_cranium","metamorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_MNHN_1992-2685_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2686_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2687_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2754_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2755_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2756_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2757_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2758_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2759_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2760_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2761_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2797_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2822_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2823_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2824_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2825_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2926_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2931_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2932_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2933_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2934_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2935_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2936_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_176570_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_176571_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178851_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178852-cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178853_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178854_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178855_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178856_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178857_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178858_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178859_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_191954_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_191955_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_191956_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_191957_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_NMB_6275_cranium","metamorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMB_6276_cranium","metamorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMB_6277_cranium","metamorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMB_6278_cranium","metamorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMB_6279_cranium","metamorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMB_6280_cranium","metamorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMBE_1016799_cranium","paedomorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_NMBE_1016900_cranium","paedomorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_NMBE_1047562_cranium","paedomorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_NMBE_1053490_cranium","paedomorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_NMW_8773-1_cranium","paedomorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_NMW_8866-1_cranium","paedomorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMW_8866-3_cranium","paedomorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMW_8866-4_cranium","paedomorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMW_8866-5_cranium","paedomorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMW_8866-6_cranium","paedomorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMW_8866-7_cranium","paedomorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMW_8866-8_cranium","paedomorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_NMW_8866-9_cranium","paedomorphic","alpestris","Bosnia"
"A_Ichthyosaura_alpestris_SMA_14018_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_14019_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_14020_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20401_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20402_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20403_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20404_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20405_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20406_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20407_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20408_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20409_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20410_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20411_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20412_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20413_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20414_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20415_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20416_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20417_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20418_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20526_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22886_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22887_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22888_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22889_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22890_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22891_cranium","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22892_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22893_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22894_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22895_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22896_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22897_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22898_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22899_cranium","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_22900_cranium","paedomorphic","apuana","Italy"
