"","life_cycle","subspecies","country"
"A_Ichthyosaura_alpestris_SMA_14018_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_14019_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_14020_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_SMA_20526_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_IRSNB_15370_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_1119-54_mandible","metamorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_MHNG_2409-84_md","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-85_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-86_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-87_md","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-88_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-89_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_2409-90_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MHNG_741-28A_mandible","metamorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_MHNG_877-87N_md","metamorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_MHNG_915-1_md","metamorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_MHNG_915-5_md","metamorphic","alpestris","Switzerland"
"A_Ichthyosaura_alpestris_MNHN_1992-2685_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2686_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2687_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2754_md","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2755_md","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2756_md","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2757_md","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2758_md","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2759_md","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2760_md","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2761_md","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2797_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2822_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2823_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2824_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2825_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2926_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2931_md","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2932_md","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2933_md","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2934_md","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2935_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MNHN_1992-2936_mandible","paedomorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_176570_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_176571_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178851_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178852_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178853_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178854_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178855_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178856_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178857_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178858_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_178859_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_191954_mandible","metamorphic","apuana","Italy"
"A_Ichthyosaura_alpestris_MVZ_191955_mandible","metamorphic","apuana","Italy"
