id;sub-species;life_cycle;country;locality;svl;r_interlimb_l;l_interlimb_l;body_h;head_l;head_w;head_h;r_lower_jaw_l;r_humerus;r_radius;r_metacarpus;r_toe_fore;r_femur;r_tibia;r_metatarsus;r_toe_hind;l_lower_jaw_l;l_humerus;l_radius;l_metacarpus;l_toe_fore;l_femur;l_tibia;l_metatarsus;l_toe_hind;tail
22966;apuana;paedomorphic;Italy;Chiusdino. Siena. Toscana;37.93;16.31;16.31;7.87;9.43;7.68;4.96;7.58;4.87;3.2;1.68;3.31;5.25;3.54;1.79;2.57;7.28;4.95;3.38;1.77;3.9;4.55;2.79;1.89;2.67;30.35
22968;apuana;paedomorphic;Italy;Chiusdino. Siena. Toscana;45.89;19.19;19.19;8.65;11.35;9.25;5.91;8.72;5.89;4.44;2.22;2.86;6.43;3.61;1.98;1.78;8.32;5.63;3.69;2.13;3.26;5.93;3.96;1.96;3.13;32.99
22971;apuana;paedomorphic;Italy;Chiusdino. Siena. Toscana;37.19;16.96;16.96;8;10.17;7.13;4.75;7.87;5.1;3.61;1.68;2.45;4.68;3.8;1.63;NA;7.59;5.36;2.72;1.32;1.99;4.41;2.8;1.78;2.81;31.73
22974;apuana;undergoing metamorphosis;Italy;Chiusdino. Siena. Toscana;41.6;17.27;17.27;6.89;9.97;7.76;4.7;8.15;5.75;3.91;2;2.62;5.2;3.32;2.1;3.52;7.87;5.65;3.48;2.3;3.26;5.5;3.35;1.96;3.43;31.62
22973;apuana;paedomorphic;Italy;Chiusdino. Siena. Toscana;37.21;14.35;14.35;7.77;9.8;7.41;5.11;7.31;5.2;3.46;1.37;2.31;5.15;3.4;1.67;2.72;7.15;5.6;3.7;1.86;2.97;4.7;3.14;1.79;2.63;26.68
22969;apuana;paedomorphic;Italy;Chiusdino. Siena. Toscana;43.61;17.69;17.69;8.67;11.29;8.56;5.77;8.1;5.3;3.42;1.49;2.67;5.85;3.64;1.8;2.32;7.62;5.89;3.18;1.56;3.22;5.56;4.6;1.65;2.97;36.18
22967;apuana;paedomorphic;Italy;Chiusdino. Siena. Toscana;45.91;19.4;19.4;8.32;10.75;8.86;6.17;9.72;5.9;4.9;2.13;3.43;6.24;4.14;2.13;3.1;8.78;5.87;3.36;2.19;3.59;6.18;3.58;1.86;3.14;34.49
22972;apuana;paedomorphic;Italy;Chiusdino. Siena. Toscana;38.25;15.55;15.55;7.1;9.93;6.78;5.31;7.31;4.61;3.7;1.98;2.55;5.24;3.29;1.97;3.33;6.81;4.93;2.96;1.53;2.78;5.13;3.4;1.76;3.35;28.3
22975;apuana;undergoing metamorphosis;Italy;Chiusdino. Siena. Toscana;43.77;19.19;19.19;7.28;9.18;7.78;4.89;8.6;5.57;3.81;2.41;2.78;6.5;4.11;2.31;2.9;7.8;6.23;3.7;1.68;2.85;6.17;4.1;2.31;2.91;33.56
22970;apuana;paedomorphic;Italy;Chiusdino. Siena. Toscana;41.87;18.2;18.2;8.88;10.91;8.53;5.72;8.81;5.2;3.62;1.96;3.3;6.3;3.99;1.7;2.94;7.72;5.67;3.25;1.93;3.3;5.67;3.98;2.13;3.9;33.09
22965-1;apuana;paedomorphic;Italy;Chiusdino. Siena. Toscana;35.13;15.12;15.12;6.99;9.22;7.11;4.64;6.9;4.3;3.57;1.78;2.32;4.35;3.42;1.65;2.4;6.14;4.34;3.24;1.7;2.17;4.16;3.42;2.15;2.45;31.88
7991-1;apuana;paedomorphic;Italy;Lago Baccio. Modena;34.72;15.14;15.14;5.88;9.3;6.81;4.51;6.36;4.21;2.72;1.66;1.96;4.7;3.42;2.12;2.21;6.4;4.24;2.82;1.74;2.2;4.65;2.77;2.12;2.82;29.44
7910;apuana;metamorphic;Italy;Lago Baccio. Modena;41.71;17.67;17.67;6.7;9.3;7.8;4.4;8.9;5.37;3.8;2.11;2.84;5.45;3.61;2.4;3.27;8.6;5.54;3.68;2.11;2.94;5.46;3.7;2.17;3.62;32.34
