"id","sub.species","life_cycle","country","locality","svl"
"22966","apuana","paedomorphic","Italy","Chiusdino, Siena, Toscana",1.57898284270279
"22968","apuana","paedomorphic","Italy","Chiusdino, Siena, Toscana",1.66171805769466
"22971","apuana","paedomorphic","Italy","Chiusdino, Siena, Toscana",1.57042617835897
"22974","apuana","undergoing metamorphosis","Italy","Chiusdino, Siena, Toscana",1.61909333062674
"22973","apuana","paedomorphic","Italy","Chiusdino, Siena, Toscana",1.57065967002153
"22969","apuana","paedomorphic","Italy","Chiusdino, Siena, Toscana",1.63958608667343
"22967","apuana","paedomorphic","Italy","Chiusdino, Siena, Toscana",1.66190729276602
"22972","apuana","paedomorphic","Italy","Chiusdino, Siena, Toscana",1.58263143948964
"22975","apuana","undergoing metamorphosis","Italy","Chiusdino, Siena, Toscana",1.64117654661311
"22970","apuana","paedomorphic","Italy","Chiusdino, Siena, Toscana",1.62190296089123
"22965-1","apuana","paedomorphic","Italy","Chiusdino, Siena, Toscana",1.54567814979203
"7991-1","apuana","paedomorphic","Italy","Lago Baccio, Modena",1.54057971650445
"7910","apuana","metamorphic","Italy","Lago Baccio, Modena",1.62024018984583
"7903","apuana","paedomorphic","Italy","Lago Baccio, Modena",1.64305768375145
"7920","apuana","metamorphic","Italy","Lago Baccio, Modena",1.60400993241223
"7913","apuana","paedomorphic","Italy","Lago Baccio, Modena",1.64236558084497
"7908","apuana","metamorphic","Italy","Lago Baccio, Modena",1.63477945814595
"7930","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.61310151696691
"7932","apuana","metamorphic","Italy","Lago Baccio, Modena",1.58950279626376
"7914","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.5532760461371
"7967","apuana","paedomorphic","Italy","Lago Baccio, Modena",1.57333584006607
"7912","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.61510798744319
"7919","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.60756224318359
"7942","apuana","paedomorphic","Italy","Lago Baccio, Modena",1.57703198562603
"7925","apuana","metamorphic","Italy","Lago Baccio, Modena",1.65243974758942
"7922","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.60691852594829
"7924","apuana","metamorphic","Italy","Lago Baccio, Modena",1.61762929775784
"7927","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.60021030640933
"7902","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.59659709562646
"7923","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.60400993241223
"7966","apuana","paedomorphic","Italy","Lago Baccio, Modena",1.60379370413696
"7958","apuana","paedomorphic","Italy","Lago Baccio, Modena",1.70079022137435
"7963","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.63113925025681
"7979","apuana","metamorphic","Italy","Lago Baccio, Modena",1.62746827245971
"7941","apuana","metamorphic","Italy","Lago Baccio, Modena",1.70130888522808
"7943","apuana","paedomorphic","Italy","Lago Baccio, Modena",1.68214507637383
"7988","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.63738965012921
"7965","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.64669773129933
"7962","apuana","metamorphic","Italy","Lago Baccio, Modena",1.65243974758942
"7978","apuana","paedomorphic","Italy","Lago Baccio, Modena",1.5864747785714
"7947","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.65734273681463
"7964","apuana","metamorphic","Italy","Lago Baccio, Modena",1.62096843564429
"7949","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.63908787108374
"7956","apuana","paedomorphic","Italy","Lago Baccio, Modena",1.73013600399668
"7984","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.63367040605144
"7987","apuana","metamorphic","Italy","Lago Baccio, Modena",1.6398847419163
"7960","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.57576498053672
"7955","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.54629583512144
"7990","apuana","metamorphic","Italy","Lago Baccio, Modena",1.53630587235103
"7939","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.53007156883738
"7935","apuana","metamorphic","Italy","Lago Baccio, Modena",1.50987428500472
"7952","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.52439612210384
"7938","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.51534389308838
"7936","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.50691072555152
"7937","apuana","metamorphic","Italy","Lago Baccio, Modena",1.51215053692203
"22887","apuana","metamorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.62117628177504
"22886","apuana","metamorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.65359838184329
"22889","apuana","metamorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.68385720540035
"22891","apuana","metamorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.66247450375031
"22888","apuana","metamorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.68475562210862
"22890","apuana","metamorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.66351247041516
"22916","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.5999921775841
"22899","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.5971464878337
