Collection;ID;sub-species;life-cycle;date;country;region;locality;Measured;cranium ;mandible ;mandible coronoid presence;Uh;Ch;Cb-1;Bb;Hb-1;Cb-2;Hb-2;;;;;;;;;;;;;
La Specola;22966;apuana;paedomorphic;3/97;Italy;;Chiusdino, Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22968;apuana;paedomorphic;3/97;Italy;;Chiusdino, Siena, Toscana;yes;yes;yes;yes;yes;yes;yes;no;no;no;no;;;;;;;;;;;;;
La Specola;22971;apuana;paedomorphic;3/97;Italy;;Chiusdino, Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22974;apuana;undergoing metamorphosis;3/97;Italy;;Chiusdino, Siena, Toscana;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;22973;apuana;paedomorphic;3/97;Italy;;Chiusdino, Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22969;apuana;paedomorphic;3/97;Italy;;Chiusdino, Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22967;apuana;paedomorphic;3/97;Italy;;Chiusdino, Siena, Toscana;yes;yes;yes;yes;yes;yes;yes;no;no;no;no;;;;;;;;;;;;;
La Specola;22972;apuana;paedomorphic;3/97;Italy;;Chiusdino, Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22975;apuana;undergoing metamorphosis;3/97;Italy;;Chiusdino, Siena, Toscana;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;22970;apuana;paedomorphic;3/97;Italy;;Chiusdino, Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22965-1;apuana;paedomorphic;3/97;Italy;;Chiusdino, Siena, Toscana;yes;yes;yes;yes;yes;yes;yes;no;no;no;no;;;;;;;;;;;;;
La Specola;7991-1;apuana;paedomorphic;19/5/1940;Italy;;Lago Baccio, Modena;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;7910;apuana;triphasic;19/5/1940;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;7903;apuana;paedomorphic;19/5/1940;Italy;;Lago Baccio, Modena;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
